unique_id,level_of_study,gp,number_of_F,number_of_E,number_of_D,number_of_C,number_of_B,number_of_A,average_grade,grade_variation,delta_gp,cumulative_std_gp,previous_gp,next_gp
62216,100.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.625
62216,200.0,1.625,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.8257418583505538,-1.375,0.9722718241315028,3.0,3.333333333333333
62216,300.0,3.333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,3.5,0.7071067811865476,1.708333333333333,0.9055512951501686,1.625,2.5
62216,400.0,2.5,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.4142135623730951,-0.833333333333333,0.7433151156213029,3.333333333333333,3.4545454545454546
62216,500.0,3.4545454545454546,0.0,0.0,1.0,2.0,0.0,1.0,3.25,1.2583057392117916,0.9545454545454546,0.7453155666209894,2.5,3.4545454545454546
62386,100.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.5
62386,200.0,2.5,1.0,0.0,1.0,1.0,1.0,0.0,2.25,1.707825127659933,-1.5,1.0606601717798212,4.0,3.375
62386,300.0,3.375,0.0,0.0,1.0,2.0,0.0,1.0,3.25,1.2583057392117916,0.875,0.7534642216677135,2.5,4.25
62386,400.0,4.25,0.0,0.0,0.0,0.0,5.0,1.0,4.166666666666667,0.408248290463863,0.875,0.779790303008871,3.375,4.25
62546,100.0,1.6666666666666665,0.0,2.0,0.0,1.0,0.0,0.0,1.6666666666666667,1.1547005383792517,0.0,0.0,0.0,2.2
62546,200.0,2.2,1.0,0.0,0.0,1.0,1.0,0.0,2.3333333333333335,2.0816659994661326,0.5333333333333337,0.37712361663282556,1.6666666666666665,2.0
62546,300.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.25,1.5,-0.20000000000000018,0.2694301256218255,2.2,5.0
62546,400.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,1.5380362660079103,2.0,2.411764705882353
62546,500.0,2.411764705882353,0.0,2.0,1.0,4.0,0.0,0.0,2.2857142857142856,0.9511897312113419,-2.588235294117647,1.3389397700437053,5.0,2.411764705882353
62712,100.0,2.1999999999999997,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.4142135623730951,0.0,0.0,0.0,0.8571428571428571
62712,200.0,0.8571428571428571,2.0,1.0,0.0,0.0,1.0,0.0,1.25,1.8929694486000912,-1.3428571428571425,0.949543391879078,2.1999999999999997,2.4545454545454546
62712,300.0,2.4545454545454546,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.8257418583505538,1.5974025974025974,0.8582689703448414,0.8571428571428571,2.0
62712,400.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.4545454545454546,0.7054837449089035,2.4545454545454546,2.6
62712,500.0,2.6,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.8284271247461903,0.6000000000000001,0.6910570098468666,2.0,2.6
62888,100.0,3.611111111111111,0.0,0.0,0.0,3.0,4.0,0.0,3.5714285714285716,0.5345224838248488,0.0,0.0,0.0,4.333333333333333
62888,200.0,4.333333333333333,0.0,0.0,0.0,0.0,2.0,1.0,4.333333333333333,0.5773502691896257,0.7222222222222219,0.5106882308569506,3.611111111111111,3.0
62888,300.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,-1.333333333333333,0.667437825590374,4.333333333333333,3.2
62888,400.0,3.2,0.0,0.0,0.0,2.0,1.0,0.0,3.3333333333333335,0.5773502691896258,0.20000000000000018,0.5892294612667388,3.0,5.0
62888,500.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.7999999999999998,0.8300528021282667,3.2,5.0
63048,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333
63048,300.0,3.333333333333333,0.0,0.0,0.0,3.0,0.0,1.0,3.5,1.0,3.333333333333333,2.357022603955158,0.0,2.6666666666666665
63048,400.0,2.6666666666666665,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,-0.6666666666666665,1.7638342073763935,3.333333333333333,3.2
63048,500.0,3.2,0.0,0.0,0.0,3.0,1.0,0.0,3.25,0.5,0.5333333333333337,1.5601519394193868,2.6666666666666665,3.2
63220,200.0,4.7142857142857135,0.0,0.0,0.0,0.0,1.0,3.0,4.75,0.5,0.0,0.0,0.0,4.857142857142857
63220,300.0,4.857142857142857,0.0,0.0,0.0,1.0,0.0,4.0,4.6,0.8944271909999159,0.14285714285714324,0.10101525445522165,4.7142857142857135,5.0
63220,400.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.14285714285714324,0.14285714285714346,4.857142857142857,4.333333333333333
63220,500.0,4.333333333333333,0.0,0.0,0.0,1.0,1.0,2.0,4.25,0.9574271077563381,-0.666666666666667,0.28670463282838826,5.0,4.333333333333333
